微博ID,用户id,用户昵称,微博链接,是否为原创微博,内容,转发理由,原始用户,发布位置,发布时间,信息采集时间,关键词,发布工具,转发数,评论数,点赞数
IA5sIkPL3,2454837434,-乔甄-,weibo.cn/2454837434/IA5sIkPL3,False,远远发了我这条豆瓣广播，虽然预测的到大致结果，看了仍然心绪复杂，也想在微博统计一下。首页各位女性朋友，从小到大有被性骚扰过（肢体或语言）的回复1，没有过的回复2。  原图 ,1，小时候被骚扰，大学时期被尾行跟随、工作后地铁上被偷拍。遭遇过这些的女性不计其数//@坑王妃:1小时候被猥亵过，还有走在路上被陌生人吃豆腐，然后错愕反应过来，对方还露出坏笑，好恶心。长大之后，会被色狼贴身，不过被我很凶狠瞪退外加骂退。  ,Logiquedelasensation,无,2020-03-24 14:24,2020/03/24 14:25:54,地铁,磕京续命的一条锦鲤,0,0,0
IA5sG1yNv,1965649122,东岗公安交警,weibo.cn/1965649122/IA5sG1yNv,True,【武汉地铁已做好恢复运营准备】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处全面消杀。武汉地铁运营公司相关负责人表示，具体运营恢复时间目前仍未最终确定！楚天视频的微博视频  ,/,/,无,2020-03-24 14:24,2020/03/24 14:25:54,地铁,HUAWEI Mate 9,0,0,0
IA5sFnaHO,3302495992,没以前快乐啦,weibo.cn/3302495992/IA5sFnaHO,True,#上海豆瓣租房[超话]# 6号线东靖路地铁站高申南苑精装修一室户，带阳台，家具家电齐全，刚刚出炉的房子，独立的卫生间和厨房。错过不再有，2000一个月。 上海  显示地图 [组图共2张] 原图 ,/,/,#上海豆瓣租房[超话]#,2020-03-24 14:24,2020/03/24 14:25:54,地铁,上海豆瓣租房超话,0,0,0
IA5sCphQZ,2110359217,将来是个潇洒的人,weibo.cn/2110359217/IA5sCphQZ,True,出租上海九亭地铁站附近公寓房，一室，16平，独立卫生间和洗衣机，有冰箱空调，外窗，附近交通购物都便利，2200/月，押一付一，急转#上海租房[超话]# 上海  显示地图 [组图共6张] 原图 ,/,/,#上海租房[超话]#,2020-03-24 14:24,2020/03/24 14:25:54,地铁,iPhone客户端,0,0,0
IA5t1gMrO,5329755297,蜡笔放纵呀,weibo.cn/5329755297/IA5t1gMrO,False,【武汉地铁已做好恢复运营准备】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处全面消杀。武汉地铁运营公司相关负责人表示，具体运营恢复时间目前仍未最终确定！楚天视频的微博视频  ,[带着微博去旅行]  ,紫光阁,无,2020-03-24 14:25,2020/03/24 14:26:26,地铁,微博 weibo.com,0,0,0
IA5t05JKu,6512840361,LsHhhh_,weibo.cn/6512840361/IA5t05JKu,False,远远发了我这条豆瓣广播，虽然预测的到大致结果，看了仍然心绪复杂，也想在微博统计一下。首页各位女性朋友，从小到大有被性骚扰过（肢体或语言）的回复1，没有过的回复2。  原图 ,1 不提言语骚扰了 有次坐公交下站前有个阿姨给我说//@塑料河:1距离最近的一次是因为上班乘地铁穿了裙子，导致我现在妥协地降低了穿裙子的频率//@全时在线网友:1初中遇到过露y癖//@-風向玫瑰圖-:1 不仅有陌生人 甚至有初中同学 高中同学（……）//@烫金真爱册:1//@伤心人类回收站: 1  ,Logiquedelasensation,无,2020-03-24 14:25,2020/03/24 14:26:26,地铁,OPPO R15 梦镜版,0,0,0
IA5sXpHfc,2854496440,呼噜呼噜呼噜冒泡的小鱼,weibo.cn/2854496440/IA5sXpHfc,True,不晓得北京现在早晚上班地铁人多不多啊  ,/,/,无,2020-03-24 14:25,2020/03/24 14:26:26,地铁,iPhone客户端,0,0,0
IA5sUqYVw,5673242223,帝城之殇,weibo.cn/5673242223/IA5sUqYVw,False,深圳地铁一男子左右开弓猥亵两旁女性整个过程被乘客记录下来…  #V影响力峰会##红人的诞生#  笑话一姐的微博视频  ,转发微博  ,笑话一姐,无,2020-03-24 14:25,2020/03/24 14:26:26,地铁,iPhone客户端,0,0,0
IA5sTzv1D,2155630645,不只一米,weibo.cn/2155630645/IA5sTzv1D,False,投稿：马上从一线到东南沿海城市。（原因是在一线留不下：没钱买房以及户口问题）最近看了下招聘软件感觉心凉了半截，第一是机会少，感觉猛刷手机一小时能把所有招聘看完；第二是薪资也很低。（虽然心里明知道和一线城市肯定没法比较的）想知道从一线离开的大家都去了哪里，过得好吗？  ,从大城市回108线小县城的我表示落差真的很大，生活也各种不方便，比如没有地铁，公交系统也不行，不能随时点外卖，连肯德基麦当劳都没有就更别说宜家啥的了，物价直逼一站城市然而工资普遍2k＋，小地方最好的出路还是考公考编。当然也有好的地方，比如住家里省去了房租。  ,社畜茶水间,无,2020-03-24 14:25,2020/03/24 14:26:26,地铁,Android,0,0,0
IA5sPsgBS,5471489748,不喝奶茶我不喝,weibo.cn/5471489748/IA5sPsgBS,True,坐地铁🚇也 太难受了 不喝奶茶我不喝的微博视频  ,/,/,无,2020-03-24 14:25,2020/03/24 14:26:26,地铁,iPhone客户端,0,0,0
IA5tgD0df,2110359217,将来是个潇洒的人,weibo.cn/2110359217/IA5tgD0df,True,转租上海九亭地铁站附近公寓房，一室，16平，独立卫生间和洗衣机，有冰箱空调，外窗，附近交通购物都便利，2200/月，押一付一，急转，可随时入住#上海租房[超话]#   上海  显示地图 [组图共6张] 原图 ,/,/,#上海租房[超话]#,2020-03-24 14:26,2020/03/24 14:27:00,地铁,iPhone客户端,0,0,0
IA5tgAC9d,2009911047,今天开星,weibo.cn/2009911047/IA5tgAC9d,True,#南宁租房小帮手[超话]# @南宁招租 @南宁租房小帮手 招租：现有江南万达正对面单位房出租，两房两厅两卫精装修，家电家具齐全，可拎包入住。1.本小区：靠近地铁口及公交站，交通方便，环境不错还安全，楼下有学校幼儿园，方便老人接送，有意租给作息正常、爱干净的有缘人居住！2.价格面议，有意者请电联：黄阿姨13481011675 http://t.cn/RyhYBYM 显示地图 [组图共2张] 原图 ,/,/,http://t.cn/RyhYBYM,2020-03-24 14:26,2020/03/24 14:27:00,地铁,南宁租房小帮手超话,0,0,0
IA5tfsK1C,6203225651,这个昵称随便起一起,weibo.cn/6203225651/IA5tfsK1C,False,远远发了我这条豆瓣广播，虽然预测的到大致结果，看了仍然心绪复杂，也想在微博统计一下。首页各位女性朋友，从小到大有被性骚扰过（肢体或语言）的回复1，没有过的回复2。  原图 ,1 地铁上被人摸手；穿领口大比较修身的短t被同门用眼神上下扫个遍，从此以后只敢和朋友在一起的时候才有勇气穿修身衣服；高中的时候在公共厕所旁边看到一个中年男子把腰带解开冲我和朋友吹口哨。  ,Logiquedelasensation,无,2020-03-24 14:26,2020/03/24 14:27:00,地铁,iPhone客户端,0,0,0
IA5texUzB,2854496440,呼噜呼噜呼噜冒泡的小鱼,weibo.cn/2854496440/IA5texUzB,True,不晓得北京现在早晚上下班地铁人多不多啊  ,/,/,无,2020-03-24 14:26,2020/03/24 14:27:00,地铁,iPhone客户端,0,0,0
IA5t561P1,1996338445,林庄LCS,weibo.cn/1996338445/IA5t561P1,True,#合肥记录#黄潜交口三号线地铁站国防科技大学五号口附近，2020年3月23号晚上八点左右。谁家的大爷走丢了，快来带回家，家中已有一只，无力负担啊@合肥宠物 #合肥宠物丢失# @凌志九号 合肥·新华优阁  显示地图 [组图共5张] 原图 ,/,/,@凌志九号,2020-03-24 14:26,2020/03/24 14:27:00,地铁,iPhone 7,0,0,0
IA5tufM3e,3214882723,马桥镇,weibo.cn/3214882723/IA5tufM3e,False,【今起执行！最新上海地铁首末班车时刻表请收好】#便民提示#申通地铁集团最新公布了上海地铁各条线路末班车时刻表（3月24日启用），每周五、周六轨交10号线（部分区段）延长运营时间，如遇节假日另行安排。另外，今天起11号线花桥段恢复正常运营，2、5、7、16号线全线运营结束时间仍提前至21时。详见↓http://t.cn/A6zFK4qc ,【今起执行！最新上海地铁首末班车时刻表请收好】  ,上海闵行,无,2020-03-24 14:26,2020/03/24 14:27:33,地铁,微博 weibo.com,0,0,0
IA5tohYCf,1280234507,雅千蔓,weibo.cn/1280234507/IA5tohYCf,True,其实这个点的北京地铁一点都不挤～所以我敢坐～  原图 ,/,/,无,2020-03-24 14:26,2020/03/24 14:27:33,地铁,iPhone客户端,0,0,0
IA5thtX0W,2216736907,oO细节Oo爱情oO柴米油盐酱醋茶Oo,weibo.cn/2216736907/IA5thtX0W,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,//@人民日报:【人民微评：开往春天的地铁】尽管武汉地铁何时恢复运营，尚未最终确定，但全面消杀行为是一个信号，带给市民憧憬。被疫情裹挟的沉重时光终会过去，被打乱的生活也会重归正轨。谁都挡不住春光照拂人心，遏制不住人们对安宁生活的向往。终有一天，开往春天的地铁载着我们抵达美好未来。  ,人民日报,无,2020-03-24 14:26,2020/03/24 14:27:33,地铁,HUAWEI Mate 30 Pro,0,0,0
IA5tHdwsE,2388502127,辽宁交通,weibo.cn/2388502127/IA5tHdwsE,True,【停运2个月后，武汉110余条公交线路上街试跑】#万众一心 共抗疫情# 2个月前，武汉公交、地铁全面停运，随着疫情好转，城市功能和市民生活正在有序恢复。3月23日，武汉110条公交线路上街试跑，开启扫码乘车演练。小央视频的秒拍视频  ,/,/,无,2020-03-24 14:27,2020/03/24 14:28:12,地铁,微博 weibo.com,0,0,0
IA5tG38j2,1283072130,大星和小星,weibo.cn/1283072130/IA5tG38j2,False,远远发了我这条豆瓣广播，虽然预测的到大致结果，看了仍然心绪复杂，也想在微博统计一下。首页各位女性朋友，从小到大有被性骚扰过（肢体或语言）的回复1，没有过的回复2。  原图 ,真的有选2的女性吗？多大年纪的？天选之子啊。 我12岁的时候家里盖房子，有个小工总是想对我动手动脚，告诉了爸爸，把他骂了一顿赶走了，多年后在路上碰到还对我说脏话。上大学时有个师兄是学生会干部也总是想趁机摸女生脸什么的，每次遇到都躲开。遛鸟的见过两三次吧。工作之后挤地铁被咸猪手也有几次  ,Logiquedelasensation,无,2020-03-24 14:27,2020/03/24 14:28:12,地铁,iPhone客户端,0,0,0
IA5tFaSRA,2778292197,北京地铁,weibo.cn/2778292197/IA5tFaSRA,False,【北京地铁采取“超常规超强措施”：八通线最小运行间隔缩至1分58秒！】3月24日起，北京地铁八通线、昌平线试行“超常规超强列车运行图”。昌平线最小运行间隔将缩至2分钟，八通线最小运行间隔将缩至1分58秒，高峰时段列车的满载率有了明显下降。详情戳视频↓BTV新闻的秒拍视频  ,北京地铁八通线、昌平线试行“超常规超强列车运行图”。昌平线最小运行间隔将缩至2分钟，八通线最小运行间隔将缩至1分58秒，高峰时段列车的满载率有了明显下降。一起看看2分钟是什么概念  ,BTV新闻,无,2020-03-24 14:27,2020/03/24 14:28:12,地铁,微博搜索,0,0,0
IA5tBAEtc,3558489300,_無添加,weibo.cn/3558489300/IA5tBAEtc,True,太可怕了，有人在地铁上嗑毛嗑🙊🙊  ,/,/,无,2020-03-24 14:27,2020/03/24 14:28:12,地铁,iPhone客户端,0,0,0
IA5tApz16,3379027494,AHTV_第一时间,weibo.cn/3379027494/IA5tApz16,True,【最高奖励五百万  安徽新政扶持“三首”产品研发】昨天上午，安徽省政府召开新闻发布会，又给咱们发布了重要的信息，那是什么信息呢？卖个关子，咱们先带大家去见识一项高科技产品，听说在疫情防控期间，它可是帮了地铁安检人员的大忙了。@安徽发布  AHTV_第一时间的微博视频  ,/,/,无,2020-03-24 14:27,2020/03/24 14:28:12,地铁,搜狗高速浏览器,0,0,0
IA5tzwcGr,5667482798,如实年华深深似海,weibo.cn/5667482798/IA5tzwcGr,True,你好！请问有做半飞秒激光近视手术比较好的专业眼科医院吗？@近视眼科室 贝瞳眼科、爱尔英智眼科、新视野眼科经常在地铁或公交看到，但不知道技术如何？我今年大学毕业了，一直戴着眼镜，最近想让自己的双眼解放，想去做近视眼手术，从此不戴眼镜。但是又有点担忧，因为自己的眼睛度数非常的高，担心自己不能做近视眼手术，也担心会有风险，所以就想请教一下，双眼都是950度做近视眼手术会有风险吗？房山区、大兴区这两个区都可以。#北京飞秒激光近视手术后注意事项##北京近视眼手术哪家医院好# 原图 ,/,/,无,2020-03-24 14:27,2020/03/24 14:28:12,地铁,微博 weibo.com,0,0,0
IA5tzdTl3,2258151501,是周锐昀的女朋友呀,weibo.cn/2258151501/IA5tzdTl3,True,这个世界上真的有一点点都没被骚扰过的女性吗，我相信有的，但是绝不是因为她们被保护的话或许自身谨慎，纯粹是幸存者偏差。女性出门能乘坐公交地铁吗，晚上能独自走在街上吗，会遇上极品的亲戚老师领导吗，去外地住宿能在酒店洗澡吗，能使用公告厕所吗，网上冲浪能发个自拍开个玩笑吗 。被骚扰了不要指责受害者不完美，而是要惩戒加害者，可惜这么简单的道理有人就是不懂。 ,/,/,无,2020-03-24 14:27,2020/03/24 14:28:12,地铁,无,0,0,0
IA5u099bU,2647678304,阿金_猎人今天出粘土人了,weibo.cn/2647678304/IA5u099bU,True,说起来真的很奇怪，小学时候的事大多都不记得了，但是被猥亵的事情还记得很清楚，那时候上海地铁还没有现在那么发达，早上上学都是坐公交，人挤人，一直感觉到有人在摸我屁股，但是那时候真的太小了，只会回头看，懵懵的，也不会叫出来，就在下车的时候和我妈说了一下，但是我妈感觉也没太在意，绝了要是现在老娘肯定转身就是他妈一脚…… ,/,/,无,2020-03-24 14:27,2020/03/24 14:28:51,地铁,iPhone客户端,0,0,0
IA5tZxocb,2697451503,债券投资笔记,weibo.cn/2697451503/IA5tZxocb,False,『刘世锦：新基建不足以挑大梁』刘世锦：新基建不足以挑大梁  ,//@朱长征-Alex世界观:所谓的“新基建”，往宽了算，也就是（占总量）10%左右，还是挑不起大梁。新基建的内容，有的媒体列了一下，大概是七项，和中央文件相比，显然是扩容了。这里边有些内容，比如特高压输电、城市地铁等，其实已经进行了很多年，把它列到新基建里面，比较勉强。  ,朱长征-Alex世界观,无,2020-03-24 14:27,2020/03/24 14:28:51,地铁,iPhone 7,0,0,0
IA5tY3O4s,6115041447,石家庄轨道交通微博,weibo.cn/6115041447/IA5tY3O4s,True,【石家庄地铁二号线石家庄站大商业招商意向公告】目前石家庄轨道交通2号线工程石家庄站商业主体已基本完成，将启动本站地铁空间商业的招商工作。石家庄站作为石家庄大铁与地下轨道交通的交汇站，主要服务于铁路车站。周边规划以铁路、商业、居住为主。现拟对石家庄市轨道交通2号线石家庄站大空间商业区域经营权面向社会公开招商。商业开发区位于地下车站一层，分为A、B两个区域，其中A区域建筑面积约为980㎡，包括两个商铺，商铺面积均为25㎡；一处大型商业展览展示区域，面积为700㎡，作为承租方日常经营管理所使用范围，商业业态形式规划为商铺和大型商业展览展示。B区域设两个沿通道商铺，面积分别为30㎡、17㎡，商业业态形式规划为零售，出租期限5年。    热烈欢迎有意向的企业咨询合作！    地址：石家庄市西兆通镇 地铁运营分公司 经营部    联系人：李女士    电话：0311-66521027              13513370841 原图 ,/,/,无,2020-03-24 14:27,2020/03/24 14:28:51,地铁,微博 weibo.com,0,0,0
IA5tXsZN5,5308690402,不二徐小小,weibo.cn/5308690402/IA5tXsZN5,True,地铁里有点冷啊，这让刚刚换薄衣服的我不适应啊  原图 ,/,/,无,2020-03-24 14:27,2020/03/24 14:28:51,地铁,HUAWEI P10 Plus,0,0,0
IA5tTiQRc,2032381431,小青龙爱吃的奶油甜草莓,weibo.cn/2032381431/IA5tTiQRc,False,远远发了我这条豆瓣广播，虽然预测的到大致结果，看了仍然心绪复杂，也想在微博统计一下。首页各位女性朋友，从小到大有被性骚扰过（肢体或语言）的回复1，没有过的回复2。  原图 ,1//@-乔甄-: 1，小时候被骚扰，大学时期被尾行跟随、工作后地铁上被偷拍。遭遇过这些的女性不计其数//@坑王妃:1小时候被猥亵过，还有走在路上被陌生人吃豆腐，然后错愕反应过来，对方还露出坏笑，好恶心。长大之后，会被色狼贴身，不过被我很凶狠瞪退外加骂退。  ,Logiquedelasensation,无,2020-03-24 14:27,2020/03/24 14:28:51,地铁,微博 weibo.com,0,0,0
IA5uds4yk,2270736991,泰州消防,weibo.cn/2270736991/IA5uds4yk,True,【地铁安全 你我同行】地铁是我们重要的交通工具，如何安全乘坐地铁呢？进入地铁站，乘坐自动扶梯，不要只顾着低头玩手机；上下车注意安全线，车门附近小心被夹，地铁内紧急按钮不能随意按动……这部地铁安全宣传片会给你一些安全启示 。#武汉地铁车厢进行深度消杀#北京密云消防的微博视频  ,/,/,无,2020-03-24 14:28,2020/03/24 14:29:24,地铁,360安全浏览器,0,0,0
IA5u7fKIF,1767516615,66-金菇酱,weibo.cn/1767516615/IA5u7fKIF,True,转租滨江西兴地铁口一套间。独立厨卫，朝南主卧带大阳台，采光极好。季付，价格2500/月。@杭州租房小孟 @杭州滨江区租房  [组图共4张] 原图 ,/,/,无,2020-03-24 14:28,2020/03/24 14:29:24,地铁,iPhone客户端,0,0,0
IA5u5aj9J,3959134553,一个体育老师吧,weibo.cn/3959134553/IA5u5aj9J,False,【#武汉地铁已做好恢复运营准备# 】#全力以赴遏制疫情# 2个月前的今天，武汉公交、地铁全面停运。今天，武汉部分公交线路已开始上街试跑，武汉地铁做好准备了吗？3月23日上午9时起，记者探访多个地铁站发现，保洁人员正利用喷雾器对车站站厅、站台等处进行无死角地消杀。对乘客接触频次高的售票机、闸机等处，工作人员用沾有消毒液的抹布仔细擦拭。据介绍，在停运期间，也保持着14天全面消杀一次的频率。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6zeHZLV  http://t.cn/A6zeH2jE ,转发微博  ,湖北日报,无,2020-03-24 14:28,2020/03/24 14:29:24,地铁,荣耀20,0,0,0
IA5u2cFMY,5758524133,小管今天开心吗,weibo.cn/5758524133/IA5u2cFMY,True,#南京租房合租[超话]# 全新6.0风格[哇][哇]地铁🚇5站新街口，5站南京南站门口苏果🏪公交🚌小单车🚴♀️🉑️免押金长租1330/月，短租49/天中胜、安德门、小行、南京南、新街口… 小管今天开心吗的微博视频  ,/,/,无,2020-03-24 14:28,2020/03/24 14:29:24,地铁,南京租房合租超话,0,0,0
IA5utEMVb,6115041447,石家庄轨道交通微博,weibo.cn/6115041447/IA5utEMVb,True,【石家庄地铁二号线北国商城站大商业招商意向公告】目前石家庄轨道交通2号线工程北国商城站大商业规划已基本完成，将启动地铁大空间商业的招商工作。北国商城站位于中山路与建设大街交口处，为1号线、2号线的换乘站，集合了商业、过街、连通地下商业等功能。现拟对石家庄市轨道交通2号线北国商城站大空间商业区域经营权面向社会公开招商。商业开发区位于地下车站一层，总建筑面积约为1922㎡，其中商业公共区（通道+设备））面积约为873㎡，可使用商业面积区1049㎡，作为承租方商铺日常经营管理所使用范围，商业业态形式规划为轻餐饮与零售，出租期限8年。热烈欢迎有意向的企业咨询合作！地址：石家庄市西兆通镇 地铁运营分公司 经营部联系人：李女士电话：0311-66521027  13513370841 原图 ,/,/,无,2020-03-24 14:29,2020/03/24 14:30:05,地铁,微博 weibo.com,0,0,0
IA5urkIUJ,5389952376,互助租房,weibo.cn/5389952376/IA5urkIUJ,True,【互助租房】出租上海市普陀区真南路822弄521支弄37号，李子园六村，精装修，大两室一厅78平，4600/月，11号线李子园、祁连山路地铁站，两百米内菜场、社区医院，社区活动中心，生活方便。 个人房源，无中介费。申明1：房屋描述为房东提供，若信息不实或需补充请及时私信猴子，定价是房东的权力，能砍多少价凭你本事，互助不做干涉，房屋出租，转租，合租，请标注详细，若有虚假信息或中介冒充，请向猴子反馈，猴子会及时下架。申明2：互助租房活动，无论事前、事中、事后，不会以任何名义、任何名目，向任何一方收费#互助租房##上海租房##租房# [组图共5张] 原图 ,/,/,无,2020-03-24 14:29,2020/03/24 14:30:05,地铁,无,0,0,0
IA5uncRwT,1750089360,LJdd123,weibo.cn/1750089360/IA5uncRwT,True,#苏州租房[超话]##苏州合租[超话]##苏州租房[超话]##苏州合租[超话]##找合住小伙伴拉#   东环路254号小区   门口苏安新村站台  旁边菜市场  附近有大润发 欧尚 地铁  靠近苏大  火车站生活便捷   自己的房子  自己住一间  另一间朝南卧室出租   有空调  限女生一名   作息正常  不养宠物  不带异性回家   一年起租  感兴趣的赶紧私信我呀 ,/,/,无,2020-03-24 14:29,2020/03/24 14:30:05,地铁,苏州租房超话,0,0,0
IA5umh7Hv,5254966978,颜青青青青青青,weibo.cn/5254966978/IA5umh7Hv,True,@长沙租房客 #开福区租房##长沙租房# 位置在四方坪阳光花园，价格450/月，楼下地铁3号线，还没有开通，公交车站就在楼下（喻家冲公交站），大型超市（麦德龙）菜市场，四方坪夜宵城等都在附近非常方便，对面是国防科大。楼层在7楼，所以不想爬楼的小姐姐可以不用考虑哦，次卧一米五的床，一共三室一厅两卫，限女生！！！没有厨房！ [组图共4张] 原图 ,/,/,无,2020-03-24 14:29,2020/03/24 14:30:05,地铁,iPhone客户端,0,0,0
IA5ujmJsu,5175744493,资水云合-西南蟹乡,weibo.cn/5175744493/IA5ujmJsu,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,//@人民日报:【人民微评：开往春天的地铁】尽管武汉地铁何时恢复运营，尚未最终确定，但全面消杀行为是一个信号，带给市民憧憬。被疫情裹挟的沉重时光终会过去，被打乱的生活也会重归正轨。谁都挡不住春光照拂人心，遏制不住人们对安宁生活的向往。终有一天，开往春天的地铁载着我们抵达美好未来。  ,人民日报,无,2020-03-24 14:29,2020/03/24 14:30:05,地铁,iPhone客户端,0,0,0
IA5uKd230,2901643825,旗木独孤,weibo.cn/2901643825/IA5uKd230,False,【北京地铁采取“超常规超强措施”：八通线最小运行间隔缩至1分58秒！】3月24日起，北京地铁八通线、昌平线试行“超常规超强列车运行图”。昌平线最小运行间隔将缩至2分钟，八通线最小运行间隔将缩至1分58秒，高峰时段列车的满载率有了明显下降。详情戳视频↓BTV新闻的秒拍视频  ,//@北京地铁:北京地铁八通线、昌平线试行“超常规超强列车运行图”。昌平线最小运行间隔将缩至2分钟，八通线最小运行间隔将缩至1分58秒，高峰时段列车的满载率有了明显下降。一起看看2分钟是什么概念  ,BTV新闻,无,2020-03-24 14:29,2020/03/24 14:30:38,地铁,iPhone XS Max(金色),0,0,0
IA5uJjEz2,5080516275,霓虹艳星速递,weibo.cn/5080516275/IA5uJjEz2,False,远远发了我这条豆瓣广播，虽然预测的到大致结果，看了仍然心绪复杂，也想在微博统计一下。首页各位女性朋友，从小到大有被性骚扰过（肢体或语言）的回复1，没有过的回复2。  原图 ,最后一次去音乐节就是pogo的时候被反复摸了两把胸。人很多分不清是哪个。从那以后已经连续去了三年的音乐节再也没去过//@塑料河:1距离最近的一次是因为上班乘地铁穿了裙子，导致我现在妥协地降低了穿裙子的频率//@全时在线网友:1初中遇到过露y癖//@-風向玫瑰圖-:1 不仅有陌生人 甚至有初中同学  ,Logiquedelasensation,无,2020-03-24 14:29,2020/03/24 14:30:38,地铁,银河飞船iPhone XR,0,0,0
IA5uGnh71,3621271173,你不是狗谁是狗,weibo.cn/3621271173/IA5uGnh71,False,草泥马这回真笑吐了 比焉许家happy valentine's day还好笑 微博故事  ,地铁老爷爷看手机哈哈哈哈哈//@養家手册:我草泥马实在是忍不住转发笑了//@-朝日生啤:我一拳把手机揍飞//@共享单瓜:笑的我手机飞出去草 正恩同志怎么也在  ,冷油条不脆,无,2020-03-24 14:29,2020/03/24 14:30:38,地铁,豆豆鱼的iPhone客户端,0,0,0
IA5uCvGLR,6064462392,运氣玩家-Z,weibo.cn/6064462392/IA5uCvGLR,True,我每次都能在周二的地铁上接到还不错的面试邀请 这是为什么呢 还都是法务部直拨 这是告诉我要多出去玩玩嘛  ,/,/,无,2020-03-24 14:29,2020/03/24 14:30:38,地铁,微博国际版,0,0,0
IA5uzxSc5,6706360471,推文控,weibo.cn/6706360471/IA5uzxSc5,True,#bl条漫# #漫画# 在地铁上这么玩，真的可以吗？  [组图共9张] 原图 ,/,/,无,2020-03-24 14:29,2020/03/24 14:30:38,地铁,皮皮时光机,0,0,0
IA5uzjWU5,6512492454,幸福杭州道,weibo.cn/6512492454/IA5uzjWU5,True,乘坐天津地铁亮“绿码”可快速通行http://t.cn/A6zFNoWS  ,/,/,无,2020-03-24 14:29,2020/03/24 14:30:38,地铁,微博 weibo.com,0,0,0
IA5uxvYBT,6079189797,耳之家,weibo.cn/6079189797/IA5uxvYBT,True,预防高频听力损失高频听力损失通常是不可逆转的，但是在某些情况下，可以预防。1. 65岁以上老年人、孕妇、婴儿、合并肝肾功能不全、家族中有过中毒史等慎/忌用耳毒性药物；2. 对于耳毒性药物使用者，要定期复查听力，一旦病情许可，应立即停药；3. 长期在噪声环境中工作时必须使用耳塞、耳罩、防护帽等防护用具，定期做听力检查；4. 在地铁公交等背景噪声大的地方，尽量不要使用耳机，每次使用耳机遵循60-60原则（音量不超过60%，每次时间不超过60分钟）；5. 老年人保持身心愉快，多食富含钙磷的食品，不吸烟少饮酒，根据个人体力情况参加一些文娱体育活动。#耳聋# #科普# #预防耳聋# 原图 ,/,/,无,2020-03-24 14:29,2020/03/24 14:30:38,地铁,专业版微博,0,0,0
IA5uw4hTp,6059221617,笑成沙雕了,weibo.cn/6059221617/IA5uw4hTp,True,【老人地铁脱鞋躺座位     小伙上前询问遭辱骂脚踢】在安徽合肥的地铁上，一老人拖鞋躺在座位上，霸占一排座位。一位小伙好心上前询问是否身体不舒服，但老人认为小伙是在谴责他，于是上前口出恶言并拳脚相加。小伙子全程没动手，一直在解释，但大爷则情绪激动，不断辱骂，期间还脚踢小伙。  [组图共2张] 原图 ,/,/,无,2020-03-24 14:29,2020/03/24 14:30:38,地铁,微博 weibo.com,0,0,0
IA5uW2COX,5105293989,陶桃668,weibo.cn/5105293989/IA5uW2COX,False,慢节奏治愈系 · 东京地铁站旁的中餐馆，钢笔淡彩教程分享，小白必备。#水彩# #宅出美好春天#  柏润老师的微博视频  ,转发微博  ,柏润老师,无,2020-03-24 14:30,2020/03/24 14:31:10,地铁,荣耀20 PRO,0,0,0
IA5uVs3Hg,1687850180,黄金菠纹疾走,weibo.cn/1687850180/IA5uVs3Hg,False,速溶于水、无色无味、是甜橙的和饮料一样不会被发现、保密发货……你们想要指导些什么呢？难道还有人不知道，在当事人不知情的情况下使用药物是犯罪吗？当然，我相信能上淘宝的店铺，胆子都没那么大，这些玩意儿无效的可能性更大，毕竟欺诈销售、夸大功效比售卖违禁品的罪名要轻。但有需要的人群会不会找上门去，问问店家有没有真货，然后私下交易这就不得而之了，这种擦边球，更多的是一种广而告之。如此宽松的鼓励迷j的氛围，此地又有多少N号房呢？#ChinaWakeUp# [组图共9张] 原图 ,//@酿青椒://@猫玖-Thaleia://@达尾:就算买到了，也带不上地铁//@黑色油性笔:你在tb想买个防身喷雾都买不到，但是密件药随手可得  ,果子狸7777,无,2020-03-24 14:30,2020/03/24 14:31:10,地铁,困困的iPhone XS Max,0,0,0
