微博ID,用户id,用户昵称,微博链接,是否为原创微博,内容,转发理由,原始用户,发布位置,发布时间,信息采集时间,关键词,发布工具,转发数,评论数,点赞数
IzWjPCWLh,3844733372,昆明晋宁发布,weibo.cn/3844733372/IzWjPCWLh,True,#部门动态#【确保师生安全精准防控校园疫情】随着疫情防控形势持续向好，为确保晋宁区各学校按时开学，确保返校师生身体健康和生命安全，晋宁区继续精准施策、因地制宜，严格做好校园疫情防控工作。近期，晋宁区教育体育局印发《关于开展2020年春季学期开学前准备工作督查检查的通知》，在学校自检自查的基础上，全区共分六个督查组，从3月16日开始，重点对全区各类学校（幼儿园）十二个项目三十个具体内容的开学准备情况进行专项督查检查，达不到开学条件的，一律不准开学。 [组图共6张] 原图 ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:05,开学,360安全浏览器,0,0,0
IzWjP4FZj,5664738979,简单小短句,weibo.cn/5664738979/IzWjP4FZj,True,实在放不下的时候，去趟重症病房或者墓地，你容易明白，你已经得到太多，时间太少，从尊重生命的角度，不必纠缠。 #开学时间# 简单小短句的微博视频  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:05,开学,iPhone 7 Plus,0,0,0
IzWjP3x5g,5541704310,吸满欧气再来的锦鲤,weibo.cn/5541704310/IzWjP3x5g,True,#你开学后的成绩#  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:05,开学,荣耀手机 勇敢做自己,0,0,0
IzWjObDNx,5903933043,是你爹顾北兮啊_,weibo.cn/5903933043/IzWjObDNx,True,#开学时间#？不是 所以这个热搜到底是那条微博  咋全是那些知识点啥的总结？？？所以具体开学时间呢？？？  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:05,开学,荣耀手机 勇敢做自己,0,0,0
IzWjOa6Xz,5538557299,树鸟星星月亮家,weibo.cn/5538557299/IzWjOa6Xz,True,新闻是广州每天新增隔离上千人……那广东学校还要开学吗……不会真的没开学就毕业了吧  原图 ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:05,开学,Android,0,0,0
IzWjO8g5u,5654491597,朵拉最宝贝,weibo.cn/5654491597/IzWjO8g5u,True,当宿舍都被提问过只剩我的时候😭我的眼泪掉下来早点开学吧 不想再经历这样的周一了🚨  原图 ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:05,开学,OnePlus 7T,0,0,0
IzWjNhQHI,5869537625,今天吃肉啦嘛,weibo.cn/5869537625/IzWjNhQHI,True,想到那天我睡梦中接到电话叫我回学校的师傅仿佛就在昨天   师傅的威严就是一个电话马上回学校吧   开学后每天要做的事也太多了叭该写的该填的该测的该消得该接的该做的该上的该批的一堆  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:05,开学,vivo智能手机,0,0,0
IzWk5BmYr,6190461394,恒星之火可以燎原,weibo.cn/6190461394/IzWk5BmYr,True,#云南开学#我也想  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:39,开学,iPhone 7,0,0,0
IzWk5B1Xz,7346673557,野心未泥,weibo.cn/7346673557/IzWk5B1Xz,True,#云南开学#我不想开学我不想开学我不想开学  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:39,开学,宝藏女孩iPhone客户端,0,0,0
IzWk5i5GE,2625481984,王家甜甜的一宝,weibo.cn/2625481984/IzWk5i5GE,True,#当得知开学时间后的你#害  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:39,开学,fairy,0,0,0
IzWk4roYL,6348686642,小吉你脸红什么,weibo.cn/6348686642/IzWk4roYL,True,#开学时间#我要开始补作业了…  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:39,开学,华为畅享9S超广角三摄,0,0,0
IzWk48iSR,1758249797,29块姜,weibo.cn/1758249797/IzWk48iSR,True,家里一件春天的衣服都没有，只能翻出了高中的外套，还好没胖多少，但貌似也没咋长高吃屎的教育t，快开学吧 烦死了  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:39,开学,iPhone 11,0,0,0
IzWk3eWwB,3164886973,我想_星空娜么美,weibo.cn/3164886973/IzWk3eWwB,True,#广州每天新增入境隔离上千人#保佑我四月能开学我不想回学校直接高考  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:39,开学,前后2000万 OPPO R11,0,0,0
IzWk3d6Do,5430282517,大同消防,weibo.cn/5430282517/IzWk3d6Do,True,#开学时间# 【开学前你该掌握的校园消防安全知识】你的学校快开学了吗？你知道如何有效预防校园火灾吗？童鞋们听好了，戳视频，来跟@大同消防  一起学吧~安徽消防的微博视频  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:39,开学,iPhone 7,0,0,0
IzWk2BY0M,5673581665,横笛吹彻何以歌,weibo.cn/5673581665/IzWk2BY0M,True,#想食蛋挞#看着好好吃的亚子，馋了馋了，想开学，想吃蛋挞  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:39,开学,小米9,0,0,0
IzWkmb90I,5190847038,F-MXXXX,weibo.cn/5190847038/IzWkmb90I,True,开不开学的无所谓，能回学校所在市区吗#开学时间##吉林省开学时间#  ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:19,开学,iPhone,0,0,0
IzWklhNyG,5894832390,Nannvi,weibo.cn/5894832390/IzWklhNyG,True,#开学时间#哈哈哈哈哈哈哈居然有人冒充学生骗老师钱哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈现在骗子好会啊！  ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:19,开学,iPhone客户端,0,0,0
IzWkkD0ZX,5392651666,Letty_X,weibo.cn/5392651666/IzWkkD0ZX,True,翻了一圈微博 怎么大家都那么盼望开学 我一点都不期待在家好爽一个月洗澡次数一只手都能数过来  ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:19,开学,iPhone客户端,0,0,0
IzWkkmVVD,3803495630,HL想得美,weibo.cn/3803495630/IzWkkmVVD,True,#日本学校将复课#日本真厉害，又要不耽误奥运会，还要赶紧开学，病毒对他来说毫无影响，可真心大，属实佩服。  ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:19,开学,iPhone客户端,0,0,0
IzWkk55o7,2776996853,谭贵华的小宝贝,weibo.cn/2776996853/IzWkk55o7,True,#湖南开学时间#蹲一个开学时间麻烦有人知道了告诉我一下  ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:19,开学,小米9 SE,0,0,0
IzWkk3D0G,6071644433,二零一五八,weibo.cn/6071644433/IzWkk3D0G,True,#开学时间四川#四川也gkdgkd  米娜桑遭不住了 续划老师也要气癫了😷  原图 ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:19,开学,记忆清单Android,0,0,0
IzWkjbHOg,3151721571,洛杉矶小卡-卡鲁索,weibo.cn/3151721571/IzWkjbHOg,True,#开学时间##江苏开学时间##安徽开学时间# 江苏大哥都发话了，咱做小弟的也要抄抄作业紧随其后不是吗？@安徽省教育厅  原图 ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:19,开学,小米8周年旗舰手机,0,0,0
IzWkzboS9,5242929077,coisini_cchh,weibo.cn/5242929077/IzWkzboS9,True,车勋你等等我 开学就搞一个薄荷绿  ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:50,开学,Romang‘s iPhone客户端,0,0,0
IzWkyi2Ad,3954169294,方方方了-,weibo.cn/3954169294/IzWkyi2Ad,True,看到开学时间的热搜带着点紧张颤颤巍巍点进去与广东无关什么消息都没有我真的没书读了  原图 ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:50,开学,vivo X20全面屏手机,0,0,0
IzWkxETmv,2637475965,Katherine洪老师,weibo.cn/2637475965/IzWkxETmv,True,我在家呆的 真的是越来越peace&love了已经不care何时开学了 我只希望能顺利写完作业并顺利结课……P.S.小区里小盆友们也太快乐了 我十七年前也这么爽的😶  [组图共4张] 原图 ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:50,开学,iPhone 7,0,0,0
IzWkxDBac,3513276290,曾天然老师,weibo.cn/3513276290/IzWkxDBac,True,省考延迟后，学生最关心的十五个问题！#大学开学要继续后延##今明两年事业单位空缺岗主招高校毕业生##事业单位##公务员[超话]#  [组图共7张] 原图 ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:50,开学,坚果手机 R1,0,0,0
IzWkx6XXL,7115624844,润润酷酷,weibo.cn/7115624844/IzWkx6XXL,True,好想开学河北你快点开好么  原图 ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:50,开学,iPhone客户端,0,0,0
IzWkwtPou,6313693792,-请看石上藤萝月,weibo.cn/6313693792/IzWkwtPou,True,#想食蛋挞#   想念学校早餐的蛋挞（不想念开学）  ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:50,开学,微博国际版,0,0,0
IzWkwtClV,5663739597,花彧浪漫,weibo.cn/5663739597/IzWkwtClV,True,我4.7开学  ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:50,开学,小米CC9e,0,0,0
IzWkwdAOT,2569096271,等待放假加度假的My,weibo.cn/2569096271/IzWkwdAOT,True,每天负能量爆棚的我，只有看到儿子笑才能吹走一些阴霾。没什么，只求快开学吧。我要上班，我得出去。在家看孩子看的我真的要崩溃了。  ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:50,开学,iPhone客户端,0,0,0
IzWkwc7X3,6010662679,Julie诗艺,weibo.cn/6010662679/IzWkwc7X3,True,#开学时间#四川你快点给我开个腔嘛啊啊啊  ,/,/,无,2020-03-23 15:09,2020/03/23 15:10:50,开学,OPPO智能手机,0,0,0
IzWkOc1bq,6725019666,Pumkin_leo,weibo.cn/6725019666/IzWkOc1bq,True,#开学时间# 我只想知道大学什么时候开学，能不能让想回去的先回去，我身边的毕业生天天都在求开学，能不能考虑考虑我们啊  ,/,/,无,2020-03-23 15:10,2020/03/23 15:11:27,开学,HUAWEI P20,0,0,0
IzWkNlEVF,5031258221,不要呷甜,weibo.cn/5031258221/IzWkNlEVF,True,#浙江开学#押一个四月中旬开学虽然我一点也不想回去住我那个破烂寝室  ,/,/,无,2020-03-23 15:10,2020/03/23 15:11:27,开学,Android,0,0,0
IzWkNlpVE,5751947680,STARSWARFAITH,weibo.cn/5751947680/IzWkNlpVE,True,#云南开学#所以浙江到底什么时候开学？有没有信呀  ,/,/,无,2020-03-23 15:10,2020/03/23 15:11:27,开学,荣耀20 PRO,0,0,0
IzWkNlokG,5143510070,6551ydniC,weibo.cn/5143510070/IzWkNlokG,True,在家里混吃 回学校等死#辽宁开学#  ,/,/,无,2020-03-23 15:10,2020/03/23 15:11:27,开学,iPhone客户端,0,0,0
IzWkNjTvc,3564359495,董小芬儿,weibo.cn/3564359495/IzWkNjTvc,True,#当得知开学时间后的你# 辉县市  显示地图 原图 ,/,/,#当得知开学时间后的你#,2020-03-23 15:10,2020/03/23 15:11:27,开学,iPhone客户端,0,0,0
IzWkNjTrb,5462799814,逗比小贤C,weibo.cn/5462799814/IzWkNjTrb,True,#开学时间#请那种要发布信息的政府网发消息，你们这些蹭热度的营销号，请不要买这些热搜吓人！谢谢！恶心死我了！！！  ,/,/,无,2020-03-23 15:10,2020/03/23 15:11:27,开学,小米9,0,0,0
IzWkN3Kh9,5499624929,刘嘉薇yeah,weibo.cn/5499624929/IzWkN3Kh9,True,萌娃表情包！太可爱啦！！！#表情包##可爱表情包##开学时间#  [组图共9张] 原图 ,/,/,无,2020-03-23 15:10,2020/03/23 15:11:27,开学,荣耀10 AI变色更潮美,0,0,0
IzWkM8RAv,6047603225,耿直少女儿,weibo.cn/6047603225/IzWkM8RAv,True,#开学时间#所以山东什么时候开学  ,/,/,无,2020-03-23 15:10,2020/03/23 15:11:27,开学,Redmi Note 7 Pro,0,0,0
IzWl4u0Qd,1918612417,杭州吃喝玩乐爆料,weibo.cn/1918612417/IzWl4u0Qd,True,【学校开学是什么样子？杭州#小学生用积木搭出开学情景#】学校开学是什么样子？3月21日，杭州丁兰小学的学生们用积木搭出开学情景，生动的描述了孩子们心中开学景象。你期待的开学又是什么样的场景呢？via@浙视频浙视频的秒拍视频  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:04,开学,微博 weibo.com,0,0,0
IzWl4clt7,5579576337,几时再见呐,weibo.cn/5579576337/IzWl4clt7,True,高三的开学了我真羡慕 石嘴山  显示地图 ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:04,开学,柔光自拍vivo X7Plus,0,0,0
IzWl4am5X,5512920883,西西里小草莓,weibo.cn/5512920883/IzWl4am5X,True,#云南开学##开学# 我什么时候开学，在家呆够了  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:04,开学,💛🧡iPhone 11,0,0,0
IzWl3yBuI,5685829334,哈哈是猪还是猫,weibo.cn/5685829334/IzWl3yBuI,True,#云南开学#可能只有我不想开学  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:04,开学,HUAWEI nova 2,0,0,0
IzWl3gY4s,5983885093,张柒柒Ech,weibo.cn/5983885093/IzWl3gY4s,True,#开学时间#网课差不多了，是不是要赶紧补寒假作业了！ 你们学校开学时间定下来了吗  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:04,开学,无,0,0,0
IzWl31hZ5,5336525670,穿裤子的云·x,weibo.cn/5336525670/IzWl31hZ5,True,#云南开学#3.23全省高三初三开学！  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:04,开学,平安健康Android,0,0,0
IzWl2FeKR,5109983300,我与月球罚站,weibo.cn/5109983300/IzWl2FeKR,True,#云南开学#呜呜呜我高三的朋友今天发了一条朋友圈说再见就没有音讯了。我觉得再听到她的声音可能是高考后了  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:04,开学,无,0,0,0
IzWl1xfI2,5593103108,小漂亮笑笑,weibo.cn/5593103108/IzWl1xfI2,True,就我不想开学嘛？看见热搜 开学时间 我心里一咯噔  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:04,开学,HUAWEI P20,0,0,0
IzWl1xe2q,5180271363,不是柠檬茶,weibo.cn/5180271363/IzWl1xe2q,True,#河南开学#郑大啥时候开学，在家快要待废了  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:04,开学,OPPO R15 梦镜版,0,0,0
IzWl0DNbt,2684898203,子怡喔巴,weibo.cn/2684898203/IzWl0DNbt,True,再不开学飞机都会开了  原图 ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:04,开学,iPhone客户端,0,0,0
IzWljgfzE,6569213643,环游四季岛屿,weibo.cn/6569213643/IzWljgfzE,True,#开学时间##多地明确开学时间# 我们好像四月中旬就开学了 害 害 害 而且回校后就不能出来了好像  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:40,开学,超酷用户端Android,0,0,0
IzWlimN1l,5029801201,薛定谔的鲤,weibo.cn/5029801201/IzWlimN1l,True,期待开学的第7931984976天  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:40,开学,vivo X6S Plus,0,0,0
IzWlhut1h,7339745902,踩踩踩踩踩啊踩,weibo.cn/7339745902/IzWlhut1h,False,#开学时间# 你希望开学吗 你希望开学吗  ,特别特别的希望开学。  ,问天,无,2020-03-23 15:11,2020/03/23 15:12:40,开学,荣耀V20 4800万3D相机,0,0,0
IzWlhurY3,6460096691,玲玲很-ok,weibo.cn/6460096691/IzWlhurY3,True,#开学时间#所以湖南到底啥时候开学？？？  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:40,开学,无,0,0,0
IzWlhskpo,5639526896,毕娜奶奶的宽面条,weibo.cn/5639526896/IzWlhskpo,True,今天湖南开学了吗没有  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:40,开学,无,0,0,0
IzWlg1Hqk,5137019896,Hdddqy,weibo.cn/5137019896/IzWlg1Hqk,False,#云南·开学# 【持续更新 | 时隔两个多月，昆明高三初三学生今日重回校园！】自从一月中旬放寒假以来，至今两个多月，昆明的初三、高三学生终于开学了！7点10分，昆十中白塔校区学生开始入校。学生排队等待监测体温，方得入校。昆一中高三年级学生开学，校门口量完体温后，进到班级还要进行体温测量。http://t.cn/A6zeU9nj http://t.cn/RI9RdU5 [组图共9张] 原图 ,//@農農今天看书了吗:我是觉得……如果具备开学条件了，那在教室里是不是可以不戴口罩啊……如果在教室还需要一直戴口罩，那是不是就是不完全具备开学条件啊……（勿喷）//@直播枣庄:戴着口罩上课不难受吗  ,春城晚报,无,2020-03-23 15:11,2020/03/23 15:12:40,开学,iPhone客户端,0,0,0
IzWlfnQEY,5744908821,Inkinkbaby,weibo.cn/5744908821/IzWlfnQEY,True,#广州每天新增入境隔离上千人#这也太慌了，不开学不复工了  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:40,开学,微博 HTML5 版,0,0,0
IzWlf8iDQ,3648922684,mmmmokayaya,weibo.cn/3648922684/IzWlf8iDQ,True,吉大什么时候开学啊，在家当咸鱼当的够够的了  ,/,/,无,2020-03-23 15:11,2020/03/23 15:12:40,开学,美图M8·人工智能自拍,0,0,0
IzWlzc7e0,6071644433,二零一五八,weibo.cn/6071644433/IzWlzc7e0,True,#四川开学时间#四川也gkdgkd  米娜桑都遭不住了 续划老师也要气癫了😷  原图 ,/,/,无,2020-03-23 15:12,2020/03/23 15:13:18,开学,记忆清单Android,0,0,0
IzWlzc6M6,6052757692,像王源一样不愿服输的孩子,weibo.cn/6052757692/IzWlzc6M6,True,#云南开学#云南开学了？还挺快！什么？你们不想开学？别怕！这里满当当的作文素材等你用用这些句子吧！📝待凛冬离去，雪融草青，相信一定有新的相逢将温暖延续。✂️那些看似不起波澜的日复一日，会突然在某一天让人看到坚持的意义。❄️ 凛冬终会离去，春天会来，花会盛开。🌞 拨开云雾 阳光便会照进来 春天已至 想在花开的时候见到你们☁️ 天空如墨，也如烟火。顺着光亮在曲折中找到那条路，留下属于自己的痕迹✉️ 爱，成就无限。牵手跨越山峰海洋，等待我们的必将是无限的美好吹不出褶的平静日子 也在闪光💫✨🕊🔍如何在常态中保持棱角，在风光旖旎中保持清醒，从青春到垂暮，这是人们一生都要做的功课。📗人类的双眸之所以存在，是为了定格每个盎然的春天吧。🎐不必为过往感喟，内心完整而充盈。✏️那些咬牙坚持和日日锤炼，那些身体与心里的疤痕，会成为我赖以战斗的力量。 ——《环球人物》@TFBOYS-王源 语录 [组图共9张] 原图 ,/,/,无,2020-03-23 15:12,2020/03/23 15:13:18,开学,HUAWEI nova 2,0,0,0
IzWlyAqxm,3744083097,爱吃的欧尼Echo,weibo.cn/3744083097/IzWlyAqxm,True,#广州每天新增入境隔离上千人#所以广州几时才可以开学呀 广州  显示地图 ,/,/,#广州每天新增入境隔离上千人#,2020-03-23 15:12,2020/03/23 15:13:18,开学,iPhone客户端,0,0,0
IzWlyzflM,5237572065,鹿鹿鹿鹿鹿鹿鹿遥,weibo.cn/5237572065/IzWlyzflM,True,#开学时间#上海学校的浙江校区就很烦了究竟是跟着上海走还是跟着浙江走，上海我感觉还早浙江也没好到哪儿去，这下就很羡慕江苏了  ,/,/,无,2020-03-23 15:12,2020/03/23 15:13:18,开学,无,0,0,0
IzWlyk5Nn,1913943487,农夫山泉有点田资深老农,weibo.cn/1913943487/IzWlyk5Nn,True,都不敢开这个先例啊《 教育厅 : 开学通知！3 月 30 日开学，各地时间表如下 》传递价值资讯http://t.cn/A6zDJagF  原图 ,/,/,无,2020-03-23 15:12,2020/03/23 15:13:18,开学,百度App,0,0,0
IzWlyiIYM,6090674644,unsatisfying,weibo.cn/6090674644/IzWlyiIYM,True,#开学时间#说实话我想开学但不想上课我刚刚才知道上了七周的课我跟室友一次都没有签到  ,/,/,无,2020-03-23 15:12,2020/03/23 15:13:18,开学,OPPO R15 梦镜版,0,0,0
IzWlxFU2b,6569713340,喻圆怎么那么圆,weibo.cn/6569713340/IzWlxFU2b,True,开学吧，我受不了公共课老师的一堆事了，再这么下去我可能就挂了。认真跟进度最后告诉我没有跟上？还没有告诉我哪里没有跟上？麻了  ,/,/,无,2020-03-23 15:12,2020/03/23 15:13:18,开学,OPPO智能手机,0,0,0
IzWlxobsl,6639338128,澳洲的Cecy小姐姐,weibo.cn/6639338128/IzWlxobsl,True,#offer分享#录取院校：#悉尼大学# offer简介：Master of Professional Engineering (Electrical)（accelerated）/职业电气工程专业（加速课程），2年学制，2021年2月开学学生背景：University of Wisconsin-Milwaukee（美国），电气工程专业，GPA 3.4/4总结：悉尼大学工程专业一共有3个degree，分别是Master of Professional Engineering、Master of Professional Engineering (Accelerated)、Master of Engineering；三者申请难度见图二，大家可以选择感兴趣的degree进行申请 [组图共2张] 原图 ,/,/,无,2020-03-23 15:12,2020/03/23 15:13:18,开学,微博 weibo.com,0,0,0
